hour_of_day,day_of_week,subject,opens,clicks,ctr
7,3,New arrivals just for you,19283,2441,0.12658818648550538
19,3,Your weekly newsletter,42256,4769,0.11285971223021583
21,6,Your weekly newsletter,30001,4650,0.15499483350554982
4,0,Your weekly newsletter,38303,764,0.019946218311881574
9,6,Summer sale starts now!,36297,1230,0.03388709810728159
18,1,Your weekly newsletter,28989,661,0.022801752388837145
9,5,Your weekly newsletter,39607,1912,0.04827429494786275
16,0,Don't miss out on these fantastic deals,15244,3826,0.2509839937024403
4,5,Limited time offer: 65% off!,7616,4401,0.5778623949579832
5,0,Limited time offer: 65% off!,14312,3793,0.26502235885969816
2,2,New arrivals just for you,46754,585,0.012512298412970014
13,1,Summer sale starts now!,39244,401,0.010218122515543777
18,1,Your weekly newsletter,19441,1982,0.1019494881950517
0,3,New arrivals just for you,20079,3089,0.15384232282484187
16,4,Limited time offer: 65% off!,15739,1145,0.0727492216786327
11,6,Summer sale starts now!,5670,1738,0.3065255731922399
19,3,Limited time offer: 65% off!,3236,782,0.24165636588380718
17,0,Don't miss out on these fantastic deals,5914,2204,0.37267500845451473
22,2,Don't miss out on these fantastic deals,28509,2406,0.08439440176786278
21,2,Your weekly newsletter,24671,4878,0.19772202180697984
15,6,New arrivals just for you,1308,1308,1.0
10,5,Limited time offer: 65% off!,11536,3464,0.3002773925104022
2,4,Your weekly newsletter,4784,4308,0.9005016722408027
0,1,Limited time offer: 65% off!,39926,4379,0.10967790412262686
22,4,Summer sale starts now!,18574,1493,0.08038117799073974
13,6,Summer sale starts now!,23400,3358,0.1435042735042735
4,5,Don't miss out on these fantastic deals,14063,4318,0.3070468605560691
19,5,New arrivals just for you,5842,4132,0.7072920232796988
21,6,Summer sale starts now!,41989,4920,0.11717354545238039
8,3,Your weekly newsletter,139,139,1.0
21,1,Don't miss out on these fantastic deals,21468,2809,0.13084591019191355
2,0,Don't miss out on these fantastic deals,5305,2883,0.5434495758718191
12,5,New arrivals just for you,19230,1588,0.08257930317212689
9,2,Don't miss out on these fantastic deals,26464,4631,0.17499244256348245
7,5,Limited time offer: 65% off!,39511,4498,0.11384171496545266
19,3,Summer sale starts now!,6340,3233,0.5099369085173502
7,0,New arrivals just for you,8816,1067,0.12102994555353902
17,6,Limited time offer: 65% off!,18464,1535,0.08313474870017332
1,5,Your weekly newsletter,2582,1883,0.7292796281951975
21,3,Summer sale starts now!,2744,2744,1.0
20,3,Summer sale starts now!,38258,3750,0.09801871503999164
12,4,New arrivals just for you,20981,1460,0.06958676898145942
18,2,Summer sale starts now!,39316,3957,0.10064604741072337
20,2,Limited time offer: 65% off!,44064,3655,0.08294753086419752
20,5,Don't miss out on these fantastic deals,2629,1915,0.7284138455686573
1,6,New arrivals just for you,37124,2397,0.0645673957547678
10,2,New arrivals just for you,9375,2007,0.21408
21,5,Don't miss out on these fantastic deals,28196,87,0.0030855440488012486
15,4,Limited time offer: 65% off!,8979,3464,0.3857890633700858
1,4,Limited time offer: 65% off!,10164,2735,0.2690869736324282
9,4,Limited time offer: 65% off!,4284,4248,0.9915966386554622
14,4,Limited time offer: 65% off!,10066,3754,0.37293860520564276
13,6,Your weekly newsletter,1296,1143,0.8819444444444444
12,0,Summer sale starts now!,5043,891,0.1766805472932778
4,0,Summer sale starts now!,14144,1105,0.078125
21,6,Limited time offer: 65% off!,729,545,0.747599451303155
17,6,New arrivals just for you,42607,3693,0.08667589832656605
10,0,Your weekly newsletter,21202,2784,0.13130836713517594
14,6,New arrivals just for you,24569,4528,0.1842972851967927
11,2,New arrivals just for you,19105,2929,0.1533106516618686
20,6,New arrivals just for you,21827,2461,0.11275026343519494
23,0,Limited time offer: 65% off!,22118,1058,0.04783434306899358
19,3,Summer sale starts now!,14611,880,0.06022859489425775
11,5,Your weekly newsletter,45967,494,0.010746840124437097
13,3,Your weekly newsletter,46202,4124,0.08926020518592269
19,1,Your weekly newsletter,25252,1071,0.042412482179629334
20,6,Don't miss out on these fantastic deals,13302,2294,0.17245526988422794
3,1,New arrivals just for you,28169,1510,0.0536050268025134
23,2,Summer sale starts now!,18717,4917,0.2627023561468184
0,2,Your weekly newsletter,20049,1136,0.056661180108733604
10,4,New arrivals just for you,18978,4189,0.22072926546527558
4,6,Limited time offer: 65% off!,30178,631,0.0209092716548479
13,0,Your weekly newsletter,3313,542,0.16359794747962572
14,1,Limited time offer: 65% off!,18479,3637,0.19681800963255588
10,3,Don't miss out on these fantastic deals,9889,3644,0.36849024168267774
16,0,Your weekly newsletter,6431,1316,0.20463380500699735
3,5,Your weekly newsletter,38238,595,0.015560437261363042
1,2,Your weekly newsletter,175,175,1.0
20,1,Limited time offer: 65% off!,30382,4585,0.15091172404713318
9,3,Limited time offer: 65% off!,20651,1846,0.08939034429325457
0,5,Limited time offer: 65% off!,15434,1170,0.07580666061941169
21,1,Your weekly newsletter,41213,4804,0.11656516147817436
22,3,New arrivals just for you,2819,2819,1.0
16,5,Limited time offer: 65% off!,14396,2884,0.20033342595165324
17,1,Don't miss out on these fantastic deals,23886,4776,0.19994976136649084
21,0,Summer sale starts now!,10381,2883,0.2777189095462865
8,3,Summer sale starts now!,34512,304,0.00880853036624942
9,5,New arrivals just for you,36719,4184,0.11394645823688009
17,5,Don't miss out on these fantastic deals,6271,3334,0.5316536437569765
14,5,Don't miss out on these fantastic deals,12522,412,0.03290209231752116
4,5,New arrivals just for you,37912,2396,0.0631989871280861
5,4,Your weekly newsletter,13444,2857,0.21251115739363285
2,3,Your weekly newsletter,6770,3803,0.5617429837518464
19,1,New arrivals just for you,20822,2265,0.1087791758716742
9,4,Limited time offer: 65% off!,19778,503,0.02543229851349985
11,2,New arrivals just for you,35692,4592,0.12865628151966826
17,2,New arrivals just for you,31807,1883,0.05920080485427736
0,1,Your weekly newsletter,34612,879,0.025395816479833584
17,2,Summer sale starts now!,5971,3601,0.6030815608775749
4,6,New arrivals just for you,49658,2617,0.052700471223166456
5,3,Limited time offer: 65% off!,6074,2634,0.4336516298979256
3,1,Don't miss out on these fantastic deals,22563,3073,0.1361964277799938
0,1,Your weekly newsletter,9064,1958,0.21601941747572814
22,1,Summer sale starts now!,26051,2355,0.09039960078307935
1,3,Don't miss out on these fantastic deals,31421,2038,0.06486108016931352
11,0,Don't miss out on these fantastic deals,19688,1519,0.07715359609914668
21,4,Your weekly newsletter,3533,3533,1.0
10,2,New arrivals just for you,517,517,1.0
2,1,Don't miss out on these fantastic deals,4036,3728,0.9236868186323092
20,2,Summer sale starts now!,18809,2466,0.13110744856185869
23,4,Limited time offer: 65% off!,4553,1346,0.2956292554359763
18,3,Limited time offer: 65% off!,35212,726,0.02061797114620016
15,5,Summer sale starts now!,5297,3574,0.6747215404946196
0,1,Summer sale starts now!,39325,2512,0.0638779402415766
2,3,Your weekly newsletter,2097,2097,1.0
22,0,Your weekly newsletter,30139,2970,0.09854341550814559
17,6,Summer sale starts now!,26407,4144,0.15692808724959292
15,1,Your weekly newsletter,32821,2664,0.0811675451692514
23,1,Your weekly newsletter,4852,4663,0.9610469909315746
11,2,Limited time offer: 65% off!,32262,3260,0.10104767218399355
19,4,Limited time offer: 65% off!,31004,3256,0.1050187072635789
14,2,Your weekly newsletter,48087,2032,0.042256742986669996
22,2,Summer sale starts now!,22957,1138,0.04957093696911617
22,0,Limited time offer: 65% off!,46888,3489,0.07441136324859239
19,2,Summer sale starts now!,13787,747,0.0541814753028215
4,6,Don't miss out on these fantastic deals,41607,4656,0.11190424688153436
8,2,Summer sale starts now!,12618,3688,0.29228086860041214
3,3,Don't miss out on these fantastic deals,20736,1151,0.05550733024691358
19,1,Limited time offer: 65% off!,15195,603,0.03968410661401777
18,2,Limited time offer: 65% off!,14351,1347,0.09386105497874712
7,1,Limited time offer: 65% off!,9502,1603,0.16870132603662386
10,1,Don't miss out on these fantastic deals,16620,1062,0.06389891696750903
23,1,Summer sale starts now!,23456,1275,0.05435709413369714
1,5,Your weekly newsletter,3101,3101,1.0
3,4,Summer sale starts now!,657,657,1.0
23,0,Don't miss out on these fantastic deals,21691,707,0.03259416347794016
0,0,New arrivals just for you,27141,1428,0.0526141262296894
9,5,Summer sale starts now!,37162,1408,0.037888165330175985
12,6,Your weekly newsletter,9292,2673,0.2876668101592768
21,3,Summer sale starts now!,482,482,1.0
9,6,Don't miss out on these fantastic deals,4752,2575,0.5418771043771043
4,3,New arrivals just for you,6420,1572,0.24485981308411214
13,1,Summer sale starts now!,9858,3993,0.40505173463177113
0,2,Your weekly newsletter,24025,2257,0.09394380853277835
19,6,Don't miss out on these fantastic deals,40897,2899,0.0708853950167494
4,1,Your weekly newsletter,3009,1979,0.6576935859089399
16,0,New arrivals just for you,23143,774,0.03344423799853087
23,6,Summer sale starts now!,17227,4162,0.24159749230858535
17,0,New arrivals just for you,19336,2492,0.12887877534133224
17,0,Don't miss out on these fantastic deals,24507,4945,0.2017790835271555
3,2,Summer sale starts now!,35401,874,0.024688568119544646
11,1,Don't miss out on these fantastic deals,7876,2893,0.36731843575418993
12,2,Summer sale starts now!,34868,4123,0.11824595617758403
5,6,Limited time offer: 65% off!,13636,1822,0.133616896450572
2,4,Don't miss out on these fantastic deals,16398,723,0.04409074277350897
3,2,Limited time offer: 65% off!,2923,2759,0.9438932603489566
8,1,New arrivals just for you,13360,2209,0.1653443113772455
17,3,Summer sale starts now!,27992,4840,0.17290654472706488
19,4,Your weekly newsletter,33772,4564,0.13514153736823403
14,1,Your weekly newsletter,48870,4443,0.09091467157765501
19,1,New arrivals just for you,23755,2280,0.09597979372763629
8,3,Your weekly newsletter,9989,854,0.08549404344779257
4,5,New arrivals just for you,8847,1494,0.1688708036622584
10,6,Don't miss out on these fantastic deals,7834,4918,0.6277763594587694
15,1,Summer sale starts now!,25315,3154,0.12459016393442623
19,0,Don't miss out on these fantastic deals,7667,242,0.03156384505021521
19,2,Limited time offer: 65% off!,9657,3308,0.34254944599772186
9,2,Your weekly newsletter,45493,2920,0.06418569889873167
0,0,Your weekly newsletter,47013,3027,0.06438644630208666
18,1,Don't miss out on these fantastic deals,3409,2910,0.8536227632736872
7,1,Limited time offer: 65% off!,7246,4375,0.6037813966326249
16,1,Don't miss out on these fantastic deals,6523,2842,0.4356891001073126
10,6,New arrivals just for you,47387,4722,0.09964758267035263
15,3,Limited time offer: 65% off!,13114,3905,0.2977733719688882
12,0,Your weekly newsletter,9107,3762,0.41308883276600417
14,3,Don't miss out on these fantastic deals,10040,1101,0.10966135458167331
19,3,Your weekly newsletter,40387,3685,0.09124223141109764
13,1,Don't miss out on these fantastic deals,42302,4891,0.11562101082691126
1,5,Summer sale starts now!,6402,3750,0.5857544517338332
17,6,Summer sale starts now!,698,698,1.0
11,3,New arrivals just for you,31016,393,0.012670879546040754
17,6,Don't miss out on these fantastic deals,22182,2234,0.10071228924353079
19,4,Summer sale starts now!,3683,2019,0.5481944067336411
20,2,Summer sale starts now!,42564,4196,0.09858096043604925
14,4,Your weekly newsletter,7495,2817,0.37585056704469644
22,1,Your weekly newsletter,5897,89,0.015092419874512463
23,2,Limited time offer: 65% off!,5553,3875,0.6978209976589231
4,2,Summer sale starts now!,11588,1898,0.1637901277183293
11,4,Don't miss out on these fantastic deals,24285,2529,0.10413835701050031
22,6,Summer sale starts now!,22909,3180,0.13881007464315334
19,5,Your weekly newsletter,34066,4405,0.12930781424294016
6,5,New arrivals just for you,3862,1453,0.37622993267736926
6,5,Summer sale starts now!,29833,877,0.029396976502530755
12,1,New arrivals just for you,24452,1926,0.07876656306232618
0,2,New arrivals just for you,27127,80,0.002949091311239724
0,5,New arrivals just for you,24113,4644,0.19259320698378468
20,0,Your weekly newsletter,7802,2669,0.34209177134068186
0,6,New arrivals just for you,6646,713,0.10728257598555523
4,3,Summer sale starts now!,19869,4563,0.22965423524082743
6,4,New arrivals just for you,11379,4195,0.36866156955795765
9,3,New arrivals just for you,37465,3694,0.09859869211263846
0,6,Summer sale starts now!,11581,1493,0.12891805543562732
17,6,Don't miss out on these fantastic deals,6793,4824,0.7101427940527013
15,2,Your weekly newsletter,45819,1766,0.03854296252646282
10,2,Summer sale starts now!,22688,2251,0.0992154442877292
20,5,Limited time offer: 65% off!,13065,1820,0.13930348258706468
16,5,Don't miss out on these fantastic deals,31025,4558,0.14691377921031426
12,0,Summer sale starts now!,581,581,1.0
7,2,Limited time offer: 65% off!,4992,4961,0.9937900641025641
22,4,Your weekly newsletter,38055,4184,0.10994613060044672
21,3,Limited time offer: 65% off!,2752,1168,0.42441860465116277
2,5,New arrivals just for you,42767,2543,0.05946173451492973
8,5,New arrivals just for you,3807,301,0.0790648804833202
21,0,New arrivals just for you,10348,1375,0.13287591805179744
12,3,Don't miss out on these fantastic deals,14206,1590,0.11192453892721385
17,3,Your weekly newsletter,12984,1737,0.1337800369685767
17,1,Limited time offer: 65% off!,6218,1893,0.3044387262785462
21,3,Limited time offer: 65% off!,15435,3615,0.23420796890184645
7,5,Your weekly newsletter,40515,1081,0.02668147599654449
21,2,Your weekly newsletter,48239,3363,0.06971537552602666
23,5,Don't miss out on these fantastic deals,31321,2762,0.0881836467545736
21,4,Summer sale starts now!,4309,4309,1.0
17,4,Summer sale starts now!,3230,2638,0.81671826625387
5,3,New arrivals just for you,17230,1010,0.05861868833430064
7,0,Don't miss out on these fantastic deals,21518,1128,0.05242122873873036
20,2,Summer sale starts now!,37890,2401,0.06336764317761942
8,5,Summer sale starts now!,32144,4265,0.1326841712294674
11,4,New arrivals just for you,28360,1641,0.05786318758815233
11,3,Limited time offer: 65% off!,49422,3793,0.07674719760430578
19,6,Summer sale starts now!,16935,4823,0.28479480366105697
1,2,Summer sale starts now!,5670,3288,0.5798941798941799
11,0,Limited time offer: 65% off!,17701,2697,0.15236427320490367
0,1,Don't miss out on these fantastic deals,12889,2377,0.18442082395841417
21,1,Limited time offer: 65% off!,33660,1414,0.042008318478906716
9,2,Don't miss out on these fantastic deals,36095,3715,0.10292284249896108
4,0,Limited time offer: 65% off!,31560,3099,0.09819391634980988
20,5,New arrivals just for you,7814,1730,0.22139749168159714
13,4,Don't miss out on these fantastic deals,28251,121,0.004283034228876854
9,1,Don't miss out on these fantastic deals,41338,3664,0.08863515409550535
18,6,Don't miss out on these fantastic deals,12781,1437,0.11243251701744778
21,3,New arrivals just for you,39519,2372,0.06002176168425315
7,0,Don't miss out on these fantastic deals,13181,4783,0.36287079887717166
5,2,Summer sale starts now!,43932,2210,0.05030501684421378
16,5,Summer sale starts now!,36267,4668,0.12871205227893126
17,6,Don't miss out on these fantastic deals,1177,1177,1.0
7,3,Your weekly newsletter,3265,2560,0.7840735068912711
22,3,Don't miss out on these fantastic deals,14152,1489,0.10521481062747315
15,3,Summer sale starts now!,36244,3255,0.08980796821542876
13,6,New arrivals just for you,26074,3089,0.11847050701848585
9,6,Summer sale starts now!,10435,694,0.06650694777192141
10,3,Summer sale starts now!,3688,256,0.06941431670281996
4,4,Summer sale starts now!,38610,1731,0.04483294483294483
10,4,Summer sale starts now!,4954,3334,0.6729915220024223
19,0,Your weekly newsletter,1573,1573,1.0
7,5,Summer sale starts now!,36811,218,0.00592214283773872
8,4,Don't miss out on these fantastic deals,4806,4373,0.9099042863087807
6,3,Don't miss out on these fantastic deals,14899,225,0.015101684676823948
19,0,New arrivals just for you,17465,775,0.04437446321213856
14,4,Your weekly newsletter,10080,3951,0.3919642857142857
22,3,New arrivals just for you,25511,1470,0.057622202187291756
11,0,Summer sale starts now!,1564,1564,1.0
14,2,Limited time offer: 65% off!,499,499,1.0
23,5,Summer sale starts now!,9319,634,0.06803305075651894
19,3,Don't miss out on these fantastic deals,15791,4769,0.30200747261098093
4,1,New arrivals just for you,28922,3695,0.12775741649955052
0,6,New arrivals just for you,2156,683,0.3167903525046382
8,6,New arrivals just for you,5911,4597,0.7777025883945187
9,0,Limited time offer: 65% off!,41516,3972,0.09567395702861548
23,0,Summer sale starts now!,49839,300,0.006019382411364594
20,5,Summer sale starts now!,7140,4267,0.5976190476190476
10,6,Your weekly newsletter,42614,3260,0.07650068052752616
21,5,Summer sale starts now!,21725,844,0.038849252013808976
12,6,Limited time offer: 65% off!,22963,522,0.022732221399642902
9,2,Your weekly newsletter,46141,364,0.007888862400034675
8,0,Don't miss out on these fantastic deals,44550,3142,0.07052749719416386
1,6,Don't miss out on these fantastic deals,21620,35,0.0016188714153561516
22,4,Don't miss out on these fantastic deals,24575,2750,0.11190233977619532
6,1,Limited time offer: 65% off!,32157,782,0.024318188885779145
17,2,Don't miss out on these fantastic deals,20833,1904,0.09139346229539673
8,4,New arrivals just for you,44302,680,0.015349194167306216
15,2,Limited time offer: 65% off!,36401,2703,0.0742562017526991
5,4,Don't miss out on these fantastic deals,14516,952,0.06558280518049049
3,1,Don't miss out on these fantastic deals,30207,2715,0.0898798291786672
8,3,Summer sale starts now!,8109,2557,0.3153286471821433
17,6,Your weekly newsletter,8400,2573,0.3063095238095238
13,2,Limited time offer: 65% off!,30487,4366,0.14320858070653064
2,1,Limited time offer: 65% off!,5643,4011,0.7107921318447634
1,5,New arrivals just for you,25941,352,0.013569253305578042
23,6,Your weekly newsletter,24310,4051,0.16663924310983136
14,3,Your weekly newsletter,47945,1951,0.04069246011054333
10,4,Limited time offer: 65% off!,32490,291,0.008956602031394275
15,0,Limited time offer: 65% off!,45388,2201,0.04849299374283952
7,5,Your weekly newsletter,12805,3830,0.29910191331511127
2,2,New arrivals just for you,41048,195,0.004750535957902943
16,2,Summer sale starts now!,47504,1700,0.035786460087571574
0,3,Limited time offer: 65% off!,8818,1417,0.16069403492855522
15,6,Limited time offer: 65% off!,13071,4671,0.3573559788845536
12,1,Your weekly newsletter,24767,4925,0.19885331287600436
12,5,New arrivals just for you,3548,3548,1.0
19,5,New arrivals just for you,3065,3065,1.0
21,2,Your weekly newsletter,15981,2495,0.15612289593892748
18,3,Limited time offer: 65% off!,42123,1362,0.032333879353322416
21,6,Don't miss out on these fantastic deals,38588,3433,0.08896548149683839
4,1,Summer sale starts now!,1676,1676,1.0
9,5,New arrivals just for you,5445,965,0.17722681359044995
11,4,New arrivals just for you,22576,101,0.004473777462792346
9,3,New arrivals just for you,9790,3452,0.3526046986721144
12,0,Summer sale starts now!,2309,1684,0.72932005197055
3,3,Don't miss out on these fantastic deals,9327,1293,0.13862978449662272
17,2,Your weekly newsletter,14784,4798,0.32454004329004327
13,1,Summer sale starts now!,27018,540,0.019986675549633577
7,1,Your weekly newsletter,16454,3563,0.2165430898261821
19,1,Limited time offer: 65% off!,13696,2080,0.15186915887850466
21,3,Limited time offer: 65% off!,9071,3599,0.39675890199536984
22,6,Summer sale starts now!,8443,3954,0.4683169489517944
0,0,Summer sale starts now!,14078,800,0.0568262537292229
13,1,Your weekly newsletter,7686,4812,0.6260733801717409
13,1,Your weekly newsletter,36511,3878,0.10621456547341897
14,5,Limited time offer: 65% off!,31632,3941,0.12458902377339404
21,2,Your weekly newsletter,19872,3906,0.19655797101449277
0,1,Your weekly newsletter,47345,4633,0.09785616221353892
5,6,Limited time offer: 65% off!,37301,1602,0.042947910243693196
3,6,New arrivals just for you,4715,1020,0.2163308589607635
13,5,Your weekly newsletter,1062,1062,1.0
13,0,Don't miss out on these fantastic deals,41318,1379,0.033375284379689237
18,4,Limited time offer: 65% off!,3262,3262,1.0
20,6,Your weekly newsletter,14813,2309,0.15587659488287314
0,0,Don't miss out on these fantastic deals,507,507,1.0
22,4,New arrivals just for you,3948,3599,0.9116008105369807
6,3,Limited time offer: 65% off!,36740,1736,0.0472509526401742
18,0,Don't miss out on these fantastic deals,44104,2574,0.05836205332849628
10,1,Limited time offer: 65% off!,4438,2657,0.5986931050022533
18,2,Don't miss out on these fantastic deals,7707,380,0.049305825872583364
1,0,Don't miss out on these fantastic deals,5410,2347,0.43382624768946393
14,2,New arrivals just for you,2810,181,0.06441281138790035
6,4,Your weekly newsletter,5452,340,0.06236243580337491
21,5,Summer sale starts now!,9685,472,0.04873515745998967
21,1,Limited time offer: 65% off!,21366,1581,0.07399606852007863
22,0,Limited time offer: 65% off!,29767,2641,0.08872241072328417
20,5,New arrivals just for you,10552,839,0.07951099317664898
19,4,Summer sale starts now!,46667,2632,0.05639959714573467
8,1,Don't miss out on these fantastic deals,11142,2022,0.18147549811523964
19,3,Limited time offer: 65% off!,8322,3692,0.4436433549627493
23,6,Your weekly newsletter,7108,1123,0.1579909960607766
8,1,Summer sale starts now!,27899,2720,0.09749453385426
6,4,Don't miss out on these fantastic deals,1660,231,0.1391566265060241
6,3,Summer sale starts now!,6350,234,0.0368503937007874
11,6,New arrivals just for you,2825,2825,1.0
13,3,Summer sale starts now!,34700,4510,0.12997118155619597
9,6,Limited time offer: 65% off!,49416,3560,0.07204144406669905
17,1,Your weekly newsletter,15707,4166,0.2652320621379003
1,1,Limited time offer: 65% off!,34588,4298,0.12426275008673529
4,0,Don't miss out on these fantastic deals,47301,1655,0.03498868945688252
1,6,New arrivals just for you,33655,2883,0.08566334868518793
17,2,Summer sale starts now!,20883,3766,0.1803380740315089
15,6,Don't miss out on these fantastic deals,34224,3796,0.11091631603553062
15,6,Your weekly newsletter,47002,3638,0.0774009616612059
16,3,Your weekly newsletter,40980,4399,0.10734504636408004
19,6,New arrivals just for you,8358,1888,0.22589136156975353
21,2,Summer sale starts now!,27405,3564,0.13004926108374384
8,4,Don't miss out on these fantastic deals,45845,2213,0.04827134911113535
6,5,Don't miss out on these fantastic deals,37979,910,0.023960609810684853
8,3,Summer sale starts now!,29421,2366,0.08041874851296693
14,3,Your weekly newsletter,8044,1056,0.13127797115862755
15,2,Summer sale starts now!,3188,3188,1.0
15,5,Your weekly newsletter,25564,3805,0.148842121733688
3,3,New arrivals just for you,41385,2832,0.06843059079376586
21,6,Summer sale starts now!,3474,3474,1.0
19,6,Don't miss out on these fantastic deals,21132,3145,0.14882642438008706
14,2,Limited time offer: 65% off!,38536,3957,0.10268320531451111
7,4,Don't miss out on these fantastic deals,30756,3920,0.12745480556639355
17,1,Don't miss out on these fantastic deals,11577,2825,0.24401831217068326
2,6,Limited time offer: 65% off!,11913,1595,0.13388734995383195
20,6,Don't miss out on these fantastic deals,16526,2437,0.14746460123441849
4,0,New arrivals just for you,12169,429,0.03525351302489933
8,6,Summer sale starts now!,8007,1194,0.14911952041963283
18,2,Summer sale starts now!,10751,819,0.0761789600967352
1,4,New arrivals just for you,32322,819,0.02533877854093187
12,1,Don't miss out on these fantastic deals,25094,1444,0.05754363592890731
4,0,New arrivals just for you,8941,3396,0.37982328598590764
5,1,Don't miss out on these fantastic deals,681,681,1.0
20,5,Summer sale starts now!,21316,202,0.009476449615312441
14,0,Limited time offer: 65% off!,10157,3337,0.3285418922910308
6,0,Summer sale starts now!,28708,4606,0.16044308206771632
6,2,Your weekly newsletter,30435,4965,0.16313454903893543
8,2,Limited time offer: 65% off!,11855,1094,0.09228173766343314
15,3,Limited time offer: 65% off!,15922,1999,0.1255495540761211
6,4,Summer sale starts now!,14149,2962,0.20934341649586544
15,6,Don't miss out on these fantastic deals,22045,4750,0.2154683601723747
9,5,New arrivals just for you,20050,392,0.019551122194513715
9,0,Don't miss out on these fantastic deals,13952,4724,0.3385894495412844
21,4,New arrivals just for you,18331,199,0.010855927117996836
18,5,Your weekly newsletter,42434,349,0.008224536927935146
14,6,New arrivals just for you,3894,3385,0.8692860811504879
2,5,Your weekly newsletter,3597,3597,1.0
16,5,Summer sale starts now!,45698,1237,0.027069018337782837
3,1,New arrivals just for you,46555,4765,0.10235205670712061
3,0,Your weekly newsletter,38407,4103,0.1068294842086078
21,5,Summer sale starts now!,17430,43,0.0024670109007458407
23,1,Don't miss out on these fantastic deals,16479,4731,0.2870926633897688
10,1,Don't miss out on these fantastic deals,27787,55,0.0019793428581710874
10,0,Don't miss out on these fantastic deals,11626,1178,0.10132461723722691
14,1,Your weekly newsletter,788,788,1.0
14,3,Your weekly newsletter,40570,4512,0.11121518363322652
23,5,Your weekly newsletter,47742,2904,0.06082694482845293
20,1,Limited time offer: 65% off!,35544,2413,0.0678876884987621
4,4,New arrivals just for you,34641,3415,0.09858260442827863
17,3,Limited time offer: 65% off!,1305,1009,0.7731800766283525
6,2,Don't miss out on these fantastic deals,9204,917,0.09963059539330726
6,6,New arrivals just for you,4683,3398,0.725603245782618
