send_time,subject,recipients,opens,clicks
2023-12-28 19:56:04,Summer sale starts now!,80067,6340,3233
2022-08-08 07:01:14,New arrivals just for you,8816,8816,1067
2023-06-18 17:53:46,Limited time offer: 65% off!,99191,18464,1535
2022-04-23 01:08:51,Your weekly newsletter,67230,2582,1883
2023-07-20 21:31:40,Summer sale starts now!,27951,2744,2744
2022-12-22 20:12:56,Summer sale starts now!,97836,38258,3750
2023-12-22 12:24:06,New arrivals just for you,52470,20981,1460
2023-11-22 18:43:44,Summer sale starts now!,71997,39316,3957
2023-10-04 20:48:48,Limited time offer: 65% off!,96111,44064,3655
2022-01-15 20:35:34,Don't miss out on these fantastic deals,54832,2629,1915
2023-03-05 01:43:28,New arrivals just for you,56348,37124,2397
2022-06-08 10:46:10,New arrivals just for you,66623,9375,2007
2022-10-15 21:42:15,Don't miss out on these fantastic deals,34278,28196,87
2023-12-01 15:53:25,Limited time offer: 65% off!,8979,8979,3464
2022-05-13 01:51:58,Limited time offer: 65% off!,76247,10164,2735
2022-10-28 09:11:08,Limited time offer: 65% off!,4284,4284,4248
2022-07-01 14:06:37,Limited time offer: 65% off!,61074,10066,3754
2022-12-18 13:08:20,Your weekly newsletter,50602,1296,1143
2023-11-27 12:58:57,Summer sale starts now!,48201,5043,891
2022-12-12 04:31:14,Summer sale starts now!,73505,14144,1105
2022-02-06 21:37:58,Limited time offer: 65% off!,19810,729,545
2023-10-15 17:08:25,New arrivals just for you,70270,42607,3693
2023-09-18 10:21:40,Your weekly newsletter,75152,21202,2784
2023-02-12 14:28:54,New arrivals just for you,24569,24569,4528
2022-08-03 11:56:41,New arrivals just for you,19105,19105,2929
2023-01-15 20:03:15,New arrivals just for you,66266,21827,2461
2023-10-23 23:50:12,Limited time offer: 65% off!,91008,22118,1058
2022-02-17 19:38:50,Summer sale starts now!,64816,14611,880
2022-02-12 11:53:02,Your weekly newsletter,57602,45967,494
2023-10-05 13:58:54,Your weekly newsletter,51768,46202,4124
2022-07-05 19:20:41,Your weekly newsletter,45930,25252,1071
2023-03-19 20:53:08,Don't miss out on these fantastic deals,13302,13302,2294
2022-08-09 03:04:12,New arrivals just for you,98245,28169,1510
2022-02-16 23:04:14,Summer sale starts now!,97169,18717,4917
2023-07-05 00:29:36,Your weekly newsletter,73765,20049,1136
2022-05-06 10:02:09,New arrivals just for you,30348,18978,4189
2022-11-20 04:53:34,Limited time offer: 65% off!,82253,30178,631
2022-05-02 13:10:06,Your weekly newsletter,28696,3313,542
2022-09-27 14:10:46,Limited time offer: 65% off!,33716,18479,3637
2023-02-23 10:41:32,Don't miss out on these fantastic deals,12748,9889,3644
2023-10-30 16:49:50,Your weekly newsletter,6431,6431,1316
2022-08-20 03:38:57,Your weekly newsletter,57221,38238,595
2023-07-05 01:49:37,Your weekly newsletter,66935,175,175
2023-11-14 20:39:53,Limited time offer: 65% off!,59065,30382,4585
2023-08-10 09:12:48,Limited time offer: 65% off!,20651,20651,1846
2023-10-14 00:08:24,Limited time offer: 65% off!,15434,15434,1170
2023-04-11 21:44:10,Your weekly newsletter,82013,41213,4804
2023-11-09 22:47:47,New arrivals just for you,2819,2819,2819
2023-12-02 16:23:25,Limited time offer: 65% off!,22511,14396,2884
2023-04-18 17:32:23,Don't miss out on these fantastic deals,78254,23886,4776
2023-08-21 21:13:13,Summer sale starts now!,76971,10381,2883
2022-07-14 08:47:13,Summer sale starts now!,66498,34512,304
2023-09-09 09:32:33,New arrivals just for you,71383,36719,4184
2022-07-16 17:29:44,Don't miss out on these fantastic deals,71663,6271,3334
2022-03-05 14:21:27,Don't miss out on these fantastic deals,12522,12522,412
2022-04-23 04:43:43,New arrivals just for you,64950,37912,2396
2022-08-19 05:33:16,Your weekly newsletter,13444,13444,2857
2022-01-27 02:48:05,Your weekly newsletter,6770,6770,3803
2022-06-28 19:30:26,New arrivals just for you,70063,20822,2265
2023-01-20 09:53:38,Limited time offer: 65% off!,98090,19778,503
2022-12-21 11:58:57,New arrivals just for you,35692,35692,4592
2023-05-31 17:33:46,New arrivals just for you,54367,31807,1883
2022-04-12 00:35:02,Your weekly newsletter,90600,34612,879
2022-08-10 17:29:29,Summer sale starts now!,5971,5971,3601
2023-04-30 04:20:17,New arrivals just for you,52413,49658,2617
2023-12-28 05:00:12,Limited time offer: 65% off!,6074,6074,2634
2022-08-23 03:40:10,Don't miss out on these fantastic deals,64338,22563,3073
2023-07-25 00:55:08,Your weekly newsletter,17473,9064,1958
2022-04-19 22:55:28,Summer sale starts now!,62256,26051,2355
2023-06-01 01:28:11,Don't miss out on these fantastic deals,31421,31421,2038
2022-02-28 11:04:17,Don't miss out on these fantastic deals,72757,19688,1519
2022-08-12 21:47:15,Your weekly newsletter,3533,3533,3533
2023-04-05 10:18:28,New arrivals just for you,50430,517,517
2022-03-15 02:39:47,Don't miss out on these fantastic deals,35814,4036,3728
2023-03-08 20:10:18,Summer sale starts now!,54057,18809,2466
2023-02-03 23:47:38,Limited time offer: 65% off!,64966,4553,1346
2023-08-31 18:55:54,Limited time offer: 65% off!,83859,35212,726
2022-03-19 15:41:28,Summer sale starts now!,5297,5297,3574
2023-08-08 00:07:29,Summer sale starts now!,76741,39325,2512
2022-10-20 02:38:50,Your weekly newsletter,94853,2097,2097
2023-09-04 22:49:41,Your weekly newsletter,68753,30139,2970
2022-05-08 17:42:11,Summer sale starts now!,37359,26407,4144
2022-01-18 15:06:54,Your weekly newsletter,32821,32821,2664
2023-03-28 23:44:23,Your weekly newsletter,90224,4852,4663
2023-08-09 11:12:50,Limited time offer: 65% off!,85842,32262,3260
2022-10-28 19:01:21,Limited time offer: 65% off!,46737,31004,3256
2022-07-13 14:56:51,Your weekly newsletter,54432,48087,2032
2022-06-29 22:52:10,Summer sale starts now!,22957,22957,1138
2022-05-09 22:02:56,Limited time offer: 65% off!,60421,46888,3489
2023-11-08 19:56:08,Summer sale starts now!,13787,13787,747
2022-09-18 04:58:10,Don't miss out on these fantastic deals,64362,41607,4656
2022-02-09 08:39:45,Summer sale starts now!,60060,12618,3688
2022-05-26 03:07:02,Don't miss out on these fantastic deals,20736,20736,1151
2023-07-11 19:47:11,Limited time offer: 65% off!,89376,15195,603
2022-06-15 18:17:40,Limited time offer: 65% off!,71985,14351,1347
2022-09-06 07:03:55,Limited time offer: 65% off!,27140,9502,1603
2022-11-08 10:41:16,Don't miss out on these fantastic deals,16620,16620,1062
2022-02-15 23:41:23,Summer sale starts now!,76672,23456,1275
2022-06-25 01:30:12,Your weekly newsletter,34167,3101,3101
2023-01-27 03:03:14,Summer sale starts now!,47424,657,657
2023-11-27 23:56:53,Don't miss out on these fantastic deals,31749,21691,707
2022-02-21 00:01:41,New arrivals just for you,84922,27141,1428
2023-11-04 09:20:05,Summer sale starts now!,65505,37162,1408
2023-04-02 12:44:23,Your weekly newsletter,95980,9292,2673
2022-06-09 21:31:57,Summer sale starts now!,75912,482,482
2022-01-09 09:05:48,Don't miss out on these fantastic deals,58917,4752,2575
2023-02-02 04:16:34,New arrivals just for you,6420,6420,1572
2023-12-19 13:31:16,Summer sale starts now!,19933,9858,3993
2022-09-28 00:16:39,Your weekly newsletter,84473,24025,2257
2023-05-28 19:45:51,Don't miss out on these fantastic deals,90351,40897,2899
2023-04-04 04:31:06,Your weekly newsletter,27089,3009,1979
2023-04-03 16:53:22,New arrivals just for you,36549,23143,774
2023-08-06 23:24:31,Summer sale starts now!,17227,17227,4162
2023-05-15 17:57:02,New arrivals just for you,19336,19336,2492
2023-01-09 17:14:37,Don't miss out on these fantastic deals,36011,24507,4945
2023-10-04 03:26:30,Summer sale starts now!,35401,35401,874
2022-10-18 11:56:00,Don't miss out on these fantastic deals,46948,7876,2893
2022-09-28 12:13:20,Summer sale starts now!,34868,34868,4123
2023-01-15 05:03:02,Limited time offer: 65% off!,13636,13636,1822
2023-06-30 02:59:46,Don't miss out on these fantastic deals,16398,16398,723
2023-04-26 03:49:40,Limited time offer: 65% off!,65778,2923,2759
2023-04-11 08:48:03,New arrivals just for you,39321,13360,2209
2023-03-16 17:45:09,Summer sale starts now!,29401,27992,4840
2023-07-07 19:04:42,Your weekly newsletter,36596,33772,4564
2022-08-09 14:50:17,Your weekly newsletter,63276,48870,4443
2022-03-01 19:45:23,New arrivals just for you,54539,23755,2280
2023-10-05 08:17:25,Your weekly newsletter,17733,9989,854
2022-04-23 04:05:29,New arrivals just for you,8847,8847,1494
2022-03-27 10:43:47,Don't miss out on these fantastic deals,25352,7834,4918
2022-04-12 15:32:22,Summer sale starts now!,93597,25315,3154
2022-08-01 19:38:45,Don't miss out on these fantastic deals,7667,7667,242
2022-12-28 19:59:34,Limited time offer: 65% off!,68439,9657,3308
2022-09-21 09:52:24,Your weekly newsletter,84007,45493,2920
2022-03-28 00:37:21,Your weekly newsletter,58618,47013,3027
2022-06-28 18:59:38,Don't miss out on these fantastic deals,3409,3409,2910
2023-07-11 07:51:15,Limited time offer: 65% off!,7246,7246,4375
2022-10-04 16:18:09,Don't miss out on these fantastic deals,6523,6523,2842
2023-05-28 10:49:58,New arrivals just for you,49567,47387,4722
2022-11-17 15:59:27,Limited time offer: 65% off!,32044,13114,3905
2023-11-27 12:23:38,Your weekly newsletter,9107,9107,3762
2022-09-29 14:38:23,Don't miss out on these fantastic deals,72567,10040,1101
2023-08-03 19:43:56,Your weekly newsletter,52075,40387,3685
2023-10-03 13:54:47,Don't miss out on these fantastic deals,42410,42302,4891
2023-03-25 01:22:19,Summer sale starts now!,74534,6402,3750
2023-01-08 17:14:30,Summer sale starts now!,29688,698,698
2022-05-19 11:58:13,New arrivals just for you,43084,31016,393
2023-11-12 17:15:35,Don't miss out on these fantastic deals,22182,22182,2234
2023-07-21 19:55:16,Summer sale starts now!,64302,3683,2019
2022-04-27 20:54:59,Summer sale starts now!,55424,42564,4196
2023-06-30 14:51:54,Your weekly newsletter,77320,7495,2817
2023-10-10 22:13:26,Your weekly newsletter,57239,5897,89
2023-10-18 23:00:01,Limited time offer: 65% off!,6360,5553,3875
2022-07-06 04:35:57,Summer sale starts now!,34964,11588,1898
2023-06-23 11:11:32,Don't miss out on these fantastic deals,85187,24285,2529
2022-09-11 22:42:22,Summer sale starts now!,93178,22909,3180
2022-07-23 19:05:47,Your weekly newsletter,69098,34066,4405
2022-01-29 06:25:31,New arrivals just for you,14153,3862,1453
2023-11-11 06:35:17,Summer sale starts now!,42093,29833,877
2023-07-11 12:34:27,New arrivals just for you,24452,24452,1926
2022-04-27 00:58:22,New arrivals just for you,62775,27127,80
2023-06-10 00:26:06,New arrivals just for you,24113,24113,4644
2022-02-07 20:20:46,Your weekly newsletter,97681,7802,2669
2022-07-24 00:52:13,New arrivals just for you,63179,6646,713
2023-11-30 04:37:47,Summer sale starts now!,94870,19869,4563
2022-12-23 06:30:32,New arrivals just for you,83547,11379,4195
2022-06-09 09:14:58,New arrivals just for you,50257,37465,3694
2023-12-17 00:54:50,Summer sale starts now!,78122,11581,1493
2023-12-03 17:59:58,Don't miss out on these fantastic deals,21113,6793,4824
2023-11-29 15:40:02,Your weekly newsletter,67973,45819,1766
2023-02-01 10:10:20,Summer sale starts now!,54466,22688,2251
2022-03-19 20:30:28,Limited time offer: 65% off!,15426,13065,1820
2022-07-09 16:04:16,Don't miss out on these fantastic deals,57034,31025,4558
2022-12-26 12:01:40,Summer sale starts now!,28257,581,581
2022-10-05 07:47:15,Limited time offer: 65% off!,4992,4992,4961
2022-10-14 22:45:19,Your weekly newsletter,53239,38055,4184
2023-09-21 21:49:07,Limited time offer: 65% off!,68072,2752,1168
2022-04-30 02:07:57,New arrivals just for you,99880,42767,2543
2022-11-26 08:15:25,New arrivals just for you,31090,3807,301
2023-12-18 21:09:39,New arrivals just for you,10348,10348,1375
2022-10-20 12:12:16,Don't miss out on these fantastic deals,34121,14206,1590
2023-05-25 17:59:02,Your weekly newsletter,78907,12984,1737
2023-02-14 17:59:09,Limited time offer: 65% off!,36664,6218,1893
2022-02-17 21:00:32,Limited time offer: 65% off!,72643,15435,3615
2022-05-14 07:21:55,Your weekly newsletter,93206,40515,1081
2023-03-01 21:33:53,Your weekly newsletter,60361,48239,3363
2023-02-04 23:40:38,Don't miss out on these fantastic deals,98847,31321,2762
2023-02-24 21:58:48,Summer sale starts now!,4309,4309,4309
2023-12-01 17:51:37,Summer sale starts now!,3230,3230,2638
2023-06-22 05:17:55,New arrivals just for you,35178,17230,1010
2022-07-25 07:02:58,Don't miss out on these fantastic deals,34441,21518,1128
2023-03-01 20:18:56,Summer sale starts now!,37890,37890,2401
2022-12-03 08:44:14,Summer sale starts now!,34307,32144,4265
2022-06-17 11:53:56,New arrivals just for you,38672,28360,1641
2023-03-23 11:38:04,Limited time offer: 65% off!,77569,49422,3793
2023-05-21 19:02:28,Summer sale starts now!,20599,16935,4823
2023-03-08 01:49:14,Summer sale starts now!,14186,5670,3288
2022-06-13 11:08:18,Limited time offer: 65% off!,73756,17701,2697
2022-11-01 00:07:55,Don't miss out on these fantastic deals,53537,12889,2377
2022-06-07 21:34:02,Limited time offer: 65% off!,51779,33660,1414
2023-06-28 09:12:55,Don't miss out on these fantastic deals,85612,36095,3715
2022-08-01 04:20:09,Limited time offer: 65% off!,31560,31560,3099
2022-08-27 20:43:49,New arrivals just for you,7814,7814,1730
2023-09-08 13:24:59,Don't miss out on these fantastic deals,33040,28251,121
2022-04-19 09:04:33,Don't miss out on these fantastic deals,41338,41338,3664
2022-08-21 18:16:27,Don't miss out on these fantastic deals,52464,12781,1437
2023-09-14 21:13:52,New arrivals just for you,66747,39519,2372
2022-04-04 07:16:22,Don't miss out on these fantastic deals,13181,13181,4783
2023-04-05 05:24:58,Summer sale starts now!,52651,43932,2210
2023-04-15 16:03:46,Summer sale starts now!,38240,36267,4668
2022-01-16 17:36:52,Don't miss out on these fantastic deals,98893,1177,1177
2022-12-29 07:06:43,Your weekly newsletter,99515,3265,2560
2023-01-19 22:15:16,Don't miss out on these fantastic deals,44325,14152,1489
2023-11-09 15:52:48,Summer sale starts now!,43408,36244,3255
2023-02-19 13:56:29,New arrivals just for you,42552,26074,3089
2023-12-17 09:49:50,Summer sale starts now!,10435,10435,694
2022-08-04 10:12:05,Summer sale starts now!,3688,3688,256
2022-09-02 04:16:08,Summer sale starts now!,67946,38610,1731
2023-11-24 10:20:03,Summer sale starts now!,4954,4954,3334
2022-02-14 19:20:46,Your weekly newsletter,11815,1573,1573
2023-11-18 07:30:56,Summer sale starts now!,36811,36811,218
2022-05-20 08:14:50,Don't miss out on these fantastic deals,15964,4806,4373
2023-10-12 06:37:46,Don't miss out on these fantastic deals,14899,14899,225
2023-07-17 19:28:38,New arrivals just for you,26836,17465,775
2022-01-07 14:02:43,Your weekly newsletter,10080,10080,3951
2023-11-02 22:42:07,New arrivals just for you,79277,25511,1470
2023-07-10 11:18:48,Summer sale starts now!,1564,1564,1564
2022-05-25 14:13:27,Limited time offer: 65% off!,55223,499,499
2023-11-04 23:11:01,Summer sale starts now!,9319,9319,634
2023-03-09 19:12:28,Don't miss out on these fantastic deals,15791,15791,4769
2023-05-16 04:44:00,New arrivals just for you,53566,28922,3695
2023-08-13 00:45:44,New arrivals just for you,55173,2156,683
2022-07-03 08:26:40,New arrivals just for you,29876,5911,4597
2023-01-23 09:13:03,Limited time offer: 65% off!,41547,41516,3972
2023-04-24 23:58:32,Summer sale starts now!,72108,49839,300
2022-07-30 20:15:33,Summer sale starts now!,37864,7140,4267
2023-11-26 10:19:27,Your weekly newsletter,70070,42614,3260
2023-02-04 21:24:52,Summer sale starts now!,74781,21725,844
2022-10-16 12:49:32,Limited time offer: 65% off!,22963,22963,522
2023-01-04 09:06:59,Your weekly newsletter,93176,46141,364
2023-10-23 08:03:38,Don't miss out on these fantastic deals,57088,44550,3142
2023-12-10 01:40:11,Don't miss out on these fantastic deals,53833,21620,35
2023-03-17 22:25:23,Don't miss out on these fantastic deals,49457,24575,2750
2022-03-15 06:26:04,Limited time offer: 65% off!,57790,32157,782
2022-02-02 17:26:22,Don't miss out on these fantastic deals,20833,20833,1904
2023-12-08 08:33:03,New arrivals just for you,58892,44302,680
2022-03-02 15:31:23,Limited time offer: 65% off!,85208,36401,2703
2022-07-29 05:40:36,Don't miss out on these fantastic deals,36972,14516,952
2022-12-06 03:29:25,Don't miss out on these fantastic deals,89551,30207,2715
2023-08-03 08:10:19,Summer sale starts now!,40742,8109,2557
2022-02-13 17:59:16,Your weekly newsletter,77647,8400,2573
2023-09-27 13:56:36,Limited time offer: 65% off!,97586,30487,4366
2023-08-22 02:05:12,Limited time offer: 65% off!,55119,5643,4011
2023-10-07 01:47:40,New arrivals just for you,85143,25941,352
2023-05-14 23:35:39,Your weekly newsletter,76104,24310,4051
2023-01-12 14:09:18,Your weekly newsletter,81183,47945,1951
2022-12-02 10:26:04,Limited time offer: 65% off!,37203,32490,291
2023-03-20 15:39:37,Limited time offer: 65% off!,45388,45388,2201
2022-10-01 07:34:43,Your weekly newsletter,33033,12805,3830
2022-05-11 02:26:20,New arrivals just for you,86818,41048,195
2023-01-25 16:51:02,Summer sale starts now!,58215,47504,1700
2023-08-24 00:03:10,Limited time offer: 65% off!,98955,8818,1417
2022-04-17 15:39:09,Limited time offer: 65% off!,18955,13071,4671
2023-07-04 12:45:39,Your weekly newsletter,39630,24767,4925
2023-11-18 12:10:33,New arrivals just for you,68156,3548,3548
2023-09-30 19:26:36,New arrivals just for you,93278,3065,3065
2023-05-31 21:19:17,Your weekly newsletter,99241,15981,2495
2023-08-17 18:16:06,Limited time offer: 65% off!,42976,42123,1362
2022-01-09 21:38:41,Don't miss out on these fantastic deals,81982,38588,3433
2022-06-28 04:13:31,Summer sale starts now!,1676,1676,1676
2023-03-11 09:48:36,New arrivals just for you,5445,5445,965
2023-08-18 11:32:13,New arrivals just for you,85024,22576,101
2022-07-14 09:02:36,New arrivals just for you,9790,9790,3452
2022-12-19 12:51:10,Summer sale starts now!,61846,2309,1684
2022-10-27 03:02:23,Don't miss out on these fantastic deals,9327,9327,1293
2023-08-02 17:02:08,Your weekly newsletter,30406,14784,4798
2023-08-01 13:45:58,Summer sale starts now!,82607,27018,540
2023-03-07 07:35:33,Your weekly newsletter,77229,16454,3563
2023-04-04 19:09:59,Limited time offer: 65% off!,13696,13696,2080
2023-03-16 21:40:44,Limited time offer: 65% off!,68606,9071,3599
2022-02-06 22:06:57,Summer sale starts now!,28217,8443,3954
2023-06-19 00:49:15,Summer sale starts now!,79638,14078,800
2022-11-01 13:42:04,Your weekly newsletter,7686,7686,4812
2022-11-01 13:40:02,Your weekly newsletter,46171,36511,3878
2023-09-02 14:50:25,Limited time offer: 65% off!,83398,31632,3941
2023-06-07 21:10:50,Your weekly newsletter,24213,19872,3906
2023-05-23 00:19:01,Your weekly newsletter,99087,47345,4633
2022-02-27 05:06:03,Limited time offer: 65% off!,53996,37301,1602
2023-10-29 03:35:03,New arrivals just for you,4715,4715,1020
2022-03-19 13:43:40,Your weekly newsletter,59080,1062,1062
2023-03-06 13:29:49,Don't miss out on these fantastic deals,65899,41318,1379
2023-07-28 18:22:17,Limited time offer: 65% off!,70106,3262,3262
2023-04-09 20:53:25,Your weekly newsletter,72196,14813,2309
2022-09-05 00:15:00,Don't miss out on these fantastic deals,78309,507,507
2023-06-23 22:43:11,New arrivals just for you,79365,3948,3599
2023-10-19 06:22:12,Limited time offer: 65% off!,69491,36740,1736
2023-09-04 18:22:07,Don't miss out on these fantastic deals,73776,44104,2574
2022-03-08 10:53:58,Limited time offer: 65% off!,4438,4438,2657
2022-02-09 18:49:28,Don't miss out on these fantastic deals,83769,7707,380
2022-01-03 01:33:36,Don't miss out on these fantastic deals,5410,5410,2347
2023-07-19 14:50:13,New arrivals just for you,11463,2810,181
2023-08-25 06:55:24,Your weekly newsletter,5452,5452,340
2023-06-24 21:15:56,Summer sale starts now!,28370,9685,472
2022-04-05 21:54:31,Limited time offer: 65% off!,79422,21366,1581
2022-02-07 22:38:29,Limited time offer: 65% off!,77661,29767,2641
2023-10-28 20:51:43,New arrivals just for you,10552,10552,839
2023-11-24 19:39:19,Summer sale starts now!,60992,46667,2632
2023-09-19 08:34:31,Don't miss out on these fantastic deals,72213,11142,2022
2022-03-24 19:05:32,Limited time offer: 65% off!,69711,8322,3692
2022-05-22 23:41:10,Your weekly newsletter,61190,7108,1123
2022-02-22 08:58:44,Summer sale starts now!,57737,27899,2720
2022-04-22 06:52:12,Don't miss out on these fantastic deals,1660,1660,231
2023-03-02 06:37:24,Summer sale starts now!,10758,6350,234
2023-06-25 11:18:39,New arrivals just for you,2825,2825,2825
2022-05-19 13:43:24,Summer sale starts now!,93634,34700,4510
2023-02-19 09:30:27,Limited time offer: 65% off!,63173,49416,3560
2022-05-03 17:22:32,Your weekly newsletter,84469,15707,4166
2022-09-06 01:51:59,Limited time offer: 65% off!,34588,34588,4298
2023-09-04 04:18:13,Don't miss out on these fantastic deals,47301,47301,1655
2022-09-25 01:57:21,New arrivals just for you,33655,33655,2883
2023-06-21 17:33:01,Summer sale starts now!,20883,20883,3766
2022-05-01 15:18:48,Don't miss out on these fantastic deals,74063,34224,3796
2023-07-02 15:02:03,Your weekly newsletter,67076,47002,3638
2022-04-21 16:16:04,Your weekly newsletter,67021,40980,4399
2023-01-01 19:20:00,New arrivals just for you,8358,8358,1888
2023-10-04 21:46:49,Summer sale starts now!,76319,27405,3564
2023-01-06 08:40:58,Don't miss out on these fantastic deals,61557,45845,2213
2023-02-04 06:43:42,Don't miss out on these fantastic deals,93458,37979,910
2023-05-25 08:15:58,Summer sale starts now!,99382,29421,2366
